dataset,best_dev_acc,best_dev_f1,best_epoch,final_train_acc,final_train_f1,final_dev_acc,final_dev_f1,fine_tune_mode,lr,epochs,batch_size,hidden_dropout_prob,pooling_config,use_simple_classifier,use_rdrop,rdrop_alpha,weight_decay,max_grad_norm,unuse_schedule,warmup_ratio,run_group,filename,prediction_prefix,checkpoint_path,path
SST,0.4950045413260672,0.4525759351747388,4,0.5829822097378277,0.535817021461287,0.4950045413260672,0.4525759351747388,full-model,2e-05,5,64,0.1,last,False,False,1.0,0.01,1.0,False,0.06,SST,sweep-SST-mlp-dropout-sweep-seed2-lr2em5-drop0p1-full-model-sst-summary.json,sweep-SST-mlp-dropout-sweep-seed2-lr2em5-drop0p1-,checkpoints/sweep-SST-mlp-dropout-sweep-seed2-lr2em5-drop0p1-sst.pt,runs/hyper-sweep/SST/sweep-SST-mlp-dropout-sweep-seed2-lr2em5-drop0p1-full-model-sst-summary.json
SST,0.49318801089918257,0.4357682120115733,3,0.5749063670411985,0.5279349340016497,0.4895549500454133,0.4444326634501644,full-model,2e-05,5,64,0.2,mean,True,True,1.0,0.01,1.0,False,0.06,Rdrop-mean-simple,Rdrop-mean-simple-full-lr2e-5-ep5-RdropAlpha1.0-full-model-sst-summary.json,Rdrop-mean-simple-full-lr2e-5-ep5-RdropAlpha1.0-,checkpoints/sst.pt,runs/Rdrop-mean-simple/Rdrop-mean-simple-full-lr2e-5-ep5-RdropAlpha1.0-full-model-sst-summary.json
SST,0.4913714804722979,0.4708240849890334,4,0.6447799625468165,0.6222397796112769,0.4913714804722979,0.4708240849890334,full-model,2e-05,5,64,0.2,last,True,False,1.0,0,,True,,base_model,base-full-lr2e-5-ep5-seed1-full-model-sst-summary.json,base-full-lr2e-5-ep5-seed1-,checkpoints/sst.pt,runs/base_model/base-full-lr2e-5-ep5-seed1-full-model-sst-summary.json
SST,0.4913714804722979,0.41510415166731435,4,0.5333567415730337,0.4631047972470472,0.4913714804722979,0.41510415166731435,full-model,1.5e-05,5,64,0.2,last,False,False,1.0,0.01,1.0,False,0.06,SST,sweep-SST-mlp-lr-sweep-seed1-lr1p5em5-drop0p2-full-model-sst-summary.json,sweep-SST-mlp-lr-sweep-seed1-lr1p5em5-drop0p2-,checkpoints/sweep-SST-mlp-lr-sweep-seed1-lr1p5em5-drop0p2-sst.pt,runs/hyper-sweep/SST/sweep-SST-mlp-lr-sweep-seed1-lr1p5em5-drop0p2-full-model-sst-summary.json
SST,0.4904632152588556,0.45664171654387664,4,0.5699906367041199,0.5340161541831898,0.4904632152588556,0.45664171654387664,full-model,2e-05,5,64,0.2,last_mean,False,,,0.01,1.0,False,0.06,no-Rdrop-last-mean,no-Rdrop-last_mean-mlp-full-lr2e-5-ep5-full-model-sst-summary.json,no-Rdrop-last_mean-mlp-full-lr2e-5-ep5-,checkpoints/no-Rdrop-last_mean-full-lr2e-5-ep5-sst.pt,runs/no-Rdrop-last-mean/no-Rdrop-last_mean-mlp-full-lr2e-5-ep5-full-model-sst-summary.json
SST,0.4904632152588556,0.4410337782622319,3,0.576310861423221,0.5347531733026469,0.48864668483197093,0.4453771541781073,full-model,2e-05,5,64,0.2,mean,True,True,0.5,0.01,1.0,False,0.06,Rdrop-mean-simple,Rdrop-mean-simple-full-lr2e-5-ep5-RdropAlpha0.5-full-model-sst-summary.json,Rdrop-mean-simple-full-lr2e-5-ep5-RdropAlpha0.5-,checkpoints/sst.pt,runs/Rdrop-mean-simple/Rdrop-mean-simple-full-lr2e-5-ep5-RdropAlpha0.5-full-model-sst-summary.json
SST,0.4904632152588556,0.43630067210233586,4,0.5697565543071161,0.5141853010979893,0.4904632152588556,0.43630067210233586,full-model,2e-05,5,64,0.2,mean,True,True,2.0,0.01,1.0,False,0.06,Rdrop-mean-simple,Rdrop-mean-simple-full-lr2e-5-ep5-RdropAlpha2.0-full-model-sst-summary.json,Rdrop-mean-simple-full-lr2e-5-ep5-RdropAlpha2.0-,checkpoints/sst.pt,runs/Rdrop-mean-simple/Rdrop-mean-simple-full-lr2e-5-ep5-RdropAlpha2.0-full-model-sst-summary.json
SST,0.4895549500454133,0.4207616737541753,4,0.5482209737827716,0.4754272220788211,0.4895549500454133,0.4207616737541753,full-model,2e-05,5,64,0.3,last,False,False,1.0,0.01,1.0,False,0.06,SST,sweep-SST-mlp-dropout-sweep-seed2-lr2em5-drop0p3-full-model-sst-summary.json,sweep-SST-mlp-dropout-sweep-seed2-lr2em5-drop0p3-,checkpoints/sweep-SST-mlp-dropout-sweep-seed2-lr2em5-drop0p3-sst.pt,runs/hyper-sweep/SST/sweep-SST-mlp-dropout-sweep-seed2-lr2em5-drop0p3-full-model-sst-summary.json
SST,0.4868301544050863,0.4206998769368872,2,0.5661282771535581,0.5270765443711357,0.485921889191644,0.45405766680425097,full-model,2e-05,5,64,0.2,last,False,False,1.0,0.01,1.0,False,0.06,SST,sweep-SST-mlp-lr-sweep-seed0-lr2em5-drop0p2-full-model-sst-summary.json,sweep-SST-mlp-lr-sweep-seed0-lr2em5-drop0p2-,checkpoints/sweep-SST-mlp-lr-sweep-seed0-lr2em5-drop0p2-sst.pt,runs/hyper-sweep/SST/sweep-SST-mlp-lr-sweep-seed0-lr2em5-drop0p2-full-model-sst-summary.json
SST,0.4841053587647593,0.39894117351548186,4,0.537687265917603,0.4463371985918501,0.4841053587647593,0.39894117351548186,full-model,1.5e-05,5,64,0.2,last,False,False,1.0,0.01,1.0,False,0.06,SST,sweep-SST-mlp-lr-sweep-seed2-lr1p5em5-drop0p2-full-model-sst-summary.json,sweep-SST-mlp-lr-sweep-seed2-lr1p5em5-drop0p2-,checkpoints/sweep-SST-mlp-lr-sweep-seed2-lr1p5em5-drop0p2-sst.pt,runs/hyper-sweep/SST/sweep-SST-mlp-lr-sweep-seed2-lr1p5em5-drop0p2-full-model-sst-summary.json
