dataset,best_dev_acc,best_dev_f1,best_epoch,final_train_acc,final_train_f1,final_dev_acc,final_dev_f1,fine_tune_mode,lr,epochs,batch_size,hidden_dropout_prob,pooling_config,use_simple_classifier,use_rdrop,rdrop_alpha,weight_decay,max_grad_norm,unuse_schedule,warmup_ratio,run_group,filename,prediction_prefix,checkpoint_path,path
SST,0.46684831970935514,0.41284539917591606,9,0.48045411985018727,0.42131326765289356,0.46684831970935514,0.41284539917591606,last-linear-layer,0.001,10,64,0.2,mean,True,True,0.5,0.01,1.0,False,0.06,Rdrop-mean-simple,Rdrop-mean-simple-linear-RdropAlpha0.5-last-linear-layer-sst-summary.json,Rdrop-mean-simple-linear-RdropAlpha0.5-,checkpoints/sst.pt,runs/Rdrop-mean-simple/Rdrop-mean-simple-linear-RdropAlpha0.5-last-linear-layer-sst-summary.json
SST,0.46684831970935514,0.4101140818886341,7,0.48139044943820225,0.4178169417606944,0.4604904632152589,0.40341854211475914,last-linear-layer,0.001,10,64,0.2,mean,True,True,1.0,0.01,1.0,False,0.06,Rdrop-mean-simple,Rdrop-mean-simple-linear-RdropAlpha1.0-last-linear-layer-sst-summary.json,Rdrop-mean-simple-linear-RdropAlpha1.0-,checkpoints/sst.pt,runs/Rdrop-mean-simple/Rdrop-mean-simple-linear-RdropAlpha1.0-last-linear-layer-sst-summary.json
SST,0.46321525885558584,0.40803936820599207,7,0.48443352059925093,0.4177723669609311,0.46139872842870117,0.40035358478434435,last-linear-layer,0.001,10,64,0.2,mean,False,True,1.0,0.01,1.0,False,0.06,Rdrop-mean-mlp,Rdrop-mean-mlp-linear-RdropAlpha1.0-last-linear-layer-sst-summary.json,Rdrop-mean-mlp-linear-RdropAlpha1.0-,checkpoints/sst.pt,runs/Rdrop-mean-mlp/Rdrop-mean-mlp-linear-RdropAlpha1.0-last-linear-layer-sst-summary.json
SST,0.4713896457765668,0.40637199360075,4,0.5360486891385767,0.4634694349373902,0.4713896457765668,0.40637199360075,full-model,2e-05,5,64,0.2,mean,False,True,2.0,0.01,1.0,False,0.06,Rdrop-mean-mlp,Rdrop-mean-mlp-full-lr2e-5-ep5-RdropAlpha2.0-full-model-sst-summary.json,Rdrop-mean-mlp-full-lr2e-5-ep5-RdropAlpha2.0-,checkpoints/sst.pt,runs/Rdrop-mean-mlp/Rdrop-mean-mlp-full-lr2e-5-ep5-RdropAlpha2.0-full-model-sst-summary.json
SST,0.4695731153496821,0.40509682613918213,7,0.5091292134831461,0.4567527940961993,0.4659400544959128,0.4248538272138481,last-linear-layer,0.001,10,64,0.2,last_mean,False,,,0.01,1.0,False,0.06,no-Rdrop-last-mean,no-Rdrop-last_mean-mlp-linear-last-linear-layer-sst-summary.json,no-Rdrop-last_mean-mlp-linear-,checkpoints/no-Rdrop-last_mean-linear-sst.pt,runs/no-Rdrop-last-mean/no-Rdrop-last_mean-mlp-linear-last-linear-layer-sst-summary.json
SST,0.4641235240690282,0.4040704037102799,7,0.4853698501872659,0.4025387666243013,0.45231607629427795,0.3655442278180808,last-linear-layer,0.001,10,64,0.2,,True,,,0.01,1.0,False,0.06,no-Rdrop-simple,no-Rdrop-simple-linear-last-linear-layer-sst-summary.json,no-Rdrop-simple-linear-,checkpoints/no-Rdrop-simple-linear-sst.pt,runs/no-Rdrop-simple/no-Rdrop-simple-linear-last-linear-layer-sst-summary.json
SST,0.4586739327883742,0.3932977081381272,7,0.4799859550561798,0.406558793748413,0.45776566757493187,0.3910951365730732,last-linear-layer,0.001,10,64,0.2,mean,True,True,2.0,0.01,1.0,False,0.06,Rdrop-mean-simple,Rdrop-mean-simple-linear-RdropAlpha2.0-last-linear-layer-sst-summary.json,Rdrop-mean-simple-linear-RdropAlpha2.0-,checkpoints/sst.pt,runs/Rdrop-mean-simple/Rdrop-mean-simple-linear-RdropAlpha2.0-last-linear-layer-sst-summary.json
SST,0.47774750227066304,0.3900722398624098,8,0.5324204119850188,0.4878393506667889,0.47411444141689374,0.4329277002720162,last-linear-layer,0.001,10,64,0.2,last_mean,True,True,0.5,0.01,1.0,False,0.06,Rdrop-last-mean-simple,Rdrop-last-mean-simple-linear-RdropAlpha0.5-last-linear-layer-sst-summary.json,Rdrop-last-mean-simple-linear-RdropAlpha0.5-,checkpoints/sst.pt,runs/Rdrop-last-mean-simple/Rdrop-last-mean-simple-linear-RdropAlpha0.5-last-linear-layer-sst-summary.json
SST,0.4695731153496821,0.38599114026514114,4,0.5099485018726592,0.42984492936399415,0.4695731153496821,0.38599114026514114,full-model,1e-05,5,64,0.2,last_mean,True,True,0.5,0.01,1.0,False,0.06,Rdrop-last-mean-simple,Rdrop-last-mean-simple-full-lr1e-5-ep5-RdropAlpha0.5-full-model-sst-summary.json,Rdrop-last-mean-simple-full-lr1e-5-ep5-RdropAlpha0.5-,checkpoints/sst.pt,runs/Rdrop-last-mean-simple/Rdrop-last-mean-simple-full-lr1e-5-ep5-RdropAlpha0.5-full-model-sst-summary.json
SST,0.4695731153496821,0.38540568823712673,4,0.504564606741573,0.4145870058131803,0.4695731153496821,0.38540568823712673,full-model,1e-05,5,64,0.2,last_mean,True,True,1.0,0.01,1.0,False,0.06,Rdrop-last-mean-simple,Rdrop-last-mean-simple-full-lr1e-5-ep5-RdropAlpha1.0-full-model-sst-summary.json,Rdrop-last-mean-simple-full-lr1e-5-ep5-RdropAlpha1.0-,checkpoints/sst.pt,runs/Rdrop-last-mean-simple/Rdrop-last-mean-simple-full-lr1e-5-ep5-RdropAlpha1.0-full-model-sst-summary.json
SST,0.4786557674841054,0.3842203008676067,3,0.5316011235955056,0.45628490397593396,0.4768392370572207,0.39299390170635506,full-model,1e-05,5,64,0.2,,True,,,0.01,1.0,False,0.06,no-Rdrop-simple,no-Rdrop-simple-full-lr1e-5-ep5-full-model-sst-summary.json,no-Rdrop-simple-full-lr1e-5-ep5-,checkpoints/no-Rdrop-simple-full-lr1e-5-ep5-sst.pt,runs/no-Rdrop-simple/no-Rdrop-simple-full-lr1e-5-ep5-full-model-sst-summary.json
SST,0.44232515894641233,0.38068596445730113,2,0.5188436329588015,0.467052350237506,0.44232515894641233,0.3952929293432085,full-model,2e-05,5,64,0.2,mean,False,,,0.01,1.0,False,0.06,no-Rdrop-mean-mlp,no-Rdrop-mean-mlp-full-lr2e-5-ep5-full-model-sst-summary.json,no-Rdrop-mean-mlp-full-lr2e-5-ep5-,checkpoints/no-Rdrop-mean-full-lr2e-5-ep5-sst.pt,runs/no-Rdrop-mean-mlp/no-Rdrop-mean-mlp-full-lr2e-5-ep5-full-model-sst-summary.json
SST,0.46684831970935514,0.3806004789206118,7,0.5029260299625468,0.42287970197621655,0.46684831970935514,0.3915422418366803,last-linear-layer,0.001,10,64,0.2,last_mean,False,True,1.0,0.01,1.0,False,0.06,Rdrop-last-mean-mlp,Rdrop-last-mean-mlp-linear-RdropAlpha1.0-last-linear-layer-sst-summary.json,Rdrop-last-mean-mlp-linear-RdropAlpha1.0-,checkpoints/sst.pt,runs/Rdrop-last-mean-mlp/Rdrop-last-mean-mlp-linear-RdropAlpha1.0-last-linear-layer-sst-summary.json
SST,0.4604904632152589,0.37985311308697306,9,0.48852996254681647,0.4055628180833919,0.4604904632152589,0.37985311308697306,last-linear-layer,0.001,10,64,0.2,,False,,,0.01,1.0,False,0.06,no-Rdrop-mlp,no-Rdrop-mlp-linear-last-linear-layer-sst-summary.json,no-Rdrop-mlp-linear-,checkpoints/no-Rdrop-linear-sst.pt,runs/no-Rdrop-mlp/no-Rdrop-mlp-linear-last-linear-layer-sst-summary.json
SST,0.45231607629427795,0.3788851380169411,3,0.4913389513108614,0.42094927974402785,0.44959128065395093,0.3827124021312882,full-model,1e-05,5,64,0.2,mean,True,True,0.5,0.01,1.0,False,0.06,Rdrop-mean-simple,Rdrop-mean-simple-full-lr1e-5-ep5-RdropAlpha0.5-full-model-sst-summary.json,Rdrop-mean-simple-full-lr1e-5-ep5-RdropAlpha0.5-,checkpoints/sst.pt,runs/Rdrop-mean-simple/Rdrop-mean-simple-full-lr1e-5-ep5-RdropAlpha0.5-full-model-sst-summary.json
SST,0.45231607629427795,0.37844012367537977,7,0.47062265917602997,0.38368523862031106,0.44868301544050865,0.3642932265534316,last-linear-layer,0.001,10,64,0.2,mean,False,True,2.0,0.01,1.0,False,0.06,Rdrop-mean-mlp,Rdrop-mean-mlp-linear-RdropAlpha2.0-last-linear-layer-sst-summary.json,Rdrop-mean-mlp-linear-RdropAlpha2.0-,checkpoints/sst.pt,runs/Rdrop-mean-mlp/Rdrop-mean-mlp-linear-RdropAlpha2.0-last-linear-layer-sst-summary.json
SST,0.45958219800181654,0.37675230336049054,3,0.4913389513108614,0.41244162007592217,0.45685740236148953,0.38280626078821367,full-model,1e-05,5,64,0.2,mean,True,True,1.0,0.01,1.0,False,0.06,Rdrop-mean-simple,Rdrop-mean-simple-full-lr1e-5-ep5-RdropAlpha1.0-full-model-sst-summary.json,Rdrop-mean-simple-full-lr1e-5-ep5-RdropAlpha1.0-,checkpoints/sst.pt,runs/Rdrop-mean-simple/Rdrop-mean-simple-full-lr1e-5-ep5-RdropAlpha1.0-full-model-sst-summary.json
SST,0.4768392370572207,0.36560774722528333,4,0.5088951310861424,0.38794045454677917,0.4768392370572207,0.36560774722528333,full-model,1e-05,5,64,0.2,,False,,,0.01,1.0,False,0.06,no-Rdrop-mlp,no-Rdrop-mlp-full-lr1e-5-ep5-full-model-sst-summary.json,no-Rdrop-mlp-full-lr1e-5-ep5-,checkpoints/no-Rdrop-full-lr1e-5-ep5-sst.pt,runs/no-Rdrop-mlp/no-Rdrop-mlp-full-lr1e-5-ep5-full-model-sst-summary.json
SST,0.46139872842870117,0.3605966760145808,4,0.4964887640449438,0.3930901304079016,0.46139872842870117,0.3605966760145808,full-model,1e-05,5,64,0.2,last_mean,True,True,2.0,0.01,1.0,False,0.06,Rdrop-last-mean-simple,Rdrop-last-mean-simple-full-lr1e-5-ep5-RdropAlpha2.0-full-model-sst-summary.json,Rdrop-last-mean-simple-full-lr1e-5-ep5-RdropAlpha2.0-,checkpoints/sst.pt,runs/Rdrop-last-mean-simple/Rdrop-last-mean-simple-full-lr1e-5-ep5-RdropAlpha2.0-full-model-sst-summary.json
SST,0.4750227066303361,0.3596481346754351,3,0.5067883895131086,0.38525177387794196,0.47411444141689374,0.3611029888318785,full-model,1e-05,5,64,0.2,last_mean,False,True,0.5,0.01,1.0,False,0.06,Rdrop-last-mean-mlp,Rdrop-last-mean-mlp-full-lr1e-5-ep5-RdropAlpha0.5-full-model-sst-summary.json,Rdrop-last-mean-mlp-full-lr1e-5-ep5-RdropAlpha0.5-,checkpoints/sst.pt,runs/Rdrop-last-mean-mlp/Rdrop-last-mean-mlp-full-lr1e-5-ep5-RdropAlpha0.5-full-model-sst-summary.json
SST,0.45413260672116257,0.3578524532490891,3,0.49087078651685395,0.3972815568390676,0.4477747502270663,0.3532341293778024,full-model,1e-05,5,64,0.2,mean,True,True,2.0,0.01,1.0,False,0.06,Rdrop-mean-simple,Rdrop-mean-simple-full-lr1e-5-ep5-RdropAlpha2.0-full-model-sst-summary.json,Rdrop-mean-simple-full-lr1e-5-ep5-RdropAlpha2.0-,checkpoints/sst.pt,runs/Rdrop-mean-simple/Rdrop-mean-simple-full-lr1e-5-ep5-RdropAlpha2.0-full-model-sst-summary.json
SST,0.47048138056312444,0.35512989262685124,4,0.5009363295880149,0.3706064761634279,0.47048138056312444,0.35512989262685124,full-model,1e-05,5,64,0.2,last_mean,False,True,1.0,0.01,1.0,False,0.06,Rdrop-last-mean-mlp,Rdrop-last-mean-mlp-full-lr1e-5-ep5-RdropAlpha1.0-full-model-sst-summary.json,Rdrop-last-mean-mlp-full-lr1e-5-ep5-RdropAlpha1.0-,checkpoints/sst.pt,runs/Rdrop-last-mean-mlp/Rdrop-last-mean-mlp-full-lr1e-5-ep5-RdropAlpha1.0-full-model-sst-summary.json
SST,0.4713896457765668,0.35468278706414064,4,0.4978932584269663,0.36291801995710704,0.4713896457765668,0.35468278706414064,full-model,1e-05,5,64,0.2,last_mean,False,True,2.0,0.01,1.0,False,0.06,Rdrop-last-mean-mlp,Rdrop-last-mean-mlp-full-lr1e-5-ep5-RdropAlpha2.0-full-model-sst-summary.json,Rdrop-last-mean-mlp-full-lr1e-5-ep5-RdropAlpha2.0-,checkpoints/sst.pt,runs/Rdrop-last-mean-mlp/Rdrop-last-mean-mlp-full-lr1e-5-ep5-RdropAlpha2.0-full-model-sst-summary.json
SST,0.4550408719346049,0.3418721766276231,6,0.4874765917602996,0.40938531295553054,0.44595821980018163,0.3643788593552931,last-linear-layer,0.001,10,64,0.2,,True,,,0,,True,,base_model,base-linear-last-linear-layer-sst-summary.json,base-linear-,checkpoints/base-linear-sst.pt,runs/base_model/base-linear-last-linear-layer-sst-summary.json
SST,0.45049954586739327,0.3415909759360372,3,0.48946629213483145,0.37483381169190755,0.44595821980018163,0.33228224864491424,full-model,1e-05,5,64,0.2,last_mean,False,,,0.01,1.0,False,0.06,no-Rdrop-last-mean,no-Rdrop-last_mean-mlp-full-lr1e-5-ep5-full-model-sst-summary.json,no-Rdrop-last_mean-mlp-full-lr1e-5-ep5-,checkpoints/no-Rdrop-last_mean-full-lr1e-5-ep5-sst.pt,runs/no-Rdrop-last-mean/no-Rdrop-last_mean-mlp-full-lr1e-5-ep5-full-model-sst-summary.json
SST,0.43505903723887374,0.3343414956905576,4,0.4731975655430712,0.3593390573122447,0.43505903723887374,0.3343414956905576,full-model,1e-05,5,64,0.2,mean,False,True,1.0,0.01,1.0,False,0.06,Rdrop-mean-mlp,Rdrop-mean-mlp-full-lr1e-5-ep5-RdropAlpha1.0-full-model-sst-summary.json,Rdrop-mean-mlp-full-lr1e-5-ep5-RdropAlpha1.0-,checkpoints/sst.pt,runs/Rdrop-mean-mlp/Rdrop-mean-mlp-full-lr1e-5-ep5-RdropAlpha1.0-full-model-sst-summary.json
SST,0.43415077202543145,0.3342879366065718,3,0.4738998127340824,0.368511671028888,0.4332425068119891,0.33532350623772966,full-model,1e-05,5,64,0.2,mean,False,True,0.5,0.01,1.0,False,0.06,Rdrop-mean-mlp,Rdrop-mean-mlp-full-lr1e-5-ep5-RdropAlpha0.5-full-model-sst-summary.json,Rdrop-mean-mlp-full-lr1e-5-ep5-RdropAlpha0.5-,checkpoints/sst.pt,runs/Rdrop-mean-mlp/Rdrop-mean-mlp-full-lr1e-5-ep5-RdropAlpha0.5-full-model-sst-summary.json
SST,0.45322434150772023,0.33328418053843933,7,0.48256086142322097,0.3608691761672481,0.44686648501362397,0.3335569433459088,last-linear-layer,0.001,10,64,0.2,last_mean,False,True,2.0,0.01,1.0,False,0.06,Rdrop-last-mean-mlp,Rdrop-last-mean-mlp-linear-RdropAlpha2.0-last-linear-layer-sst-summary.json,Rdrop-last-mean-mlp-linear-RdropAlpha2.0-,checkpoints/sst.pt,runs/Rdrop-last-mean-mlp/Rdrop-last-mean-mlp-linear-RdropAlpha2.0-last-linear-layer-sst-summary.json
SST,0.4296094459582198,0.31852993519216516,4,0.46722846441947563,0.3430225865938912,0.4296094459582198,0.31852993519216516,full-model,1e-05,5,64,0.2,mean,False,True,2.0,0.01,1.0,False,0.06,Rdrop-mean-mlp,Rdrop-mean-mlp-full-lr1e-5-ep5-RdropAlpha2.0-full-model-sst-summary.json,Rdrop-mean-mlp-full-lr1e-5-ep5-RdropAlpha2.0-,checkpoints/sst.pt,runs/Rdrop-mean-mlp/Rdrop-mean-mlp-full-lr1e-5-ep5-RdropAlpha2.0-full-model-sst-summary.json
